"Country Code","IMF Country Code","Country","Indicator Type","Series Name","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Note"
"AZE",912,"Azerbaijan","Inflation","Headline Consumer Price Inflation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.599998474121,917,1129.69995117188,1664,411.760009765625,19.7950000762939,3.67400002479553,-0.773000001907349,-8.52499961853027,1.80499994754791,1.86300003528595,2.77736830711365,2.13082599639893,6.70695924758911,9.54150772094727,8.23228168487549,16.5660762786865,20.7970199584961,1.33217322826385,5.68534851074219,7.7724757194519,1.00954949855804,2.43227601051331,1.43308281898499,4.03293752670288,12.4405546188354,12.844,2.33,2.71199989318848,2.75980947008128,6.65029912708779,13.8522590144267,8.78543049849081,"Annual average inflation"
"BHS",313,"Bahamas, The","Inflation","Headline Consumer Price Inflation",6.15209007263184,4.61497020721436,6.83081007003784,5.48175001144409,13.0718002319336,10.3596000671387,4.25583982467651,3.18987989425659,6.10906982421875,9.09138965606689,12.2309999465942,11.0459995269775,6.10099983215332,4,3.96600008010864,4.62400007247925,5.41400003433228,5.99399995803833,4.05100011825562,5.40500020980835,4.62799978256226,7.30399990081787,5.5770001411438,2.74799990653992,1.36699998378754,2.02300000190735,1.26199996471405,0.560999989509583,1.20700001716614,1.11899995803833,1.73199999332428,2.36199998855591,1.49800002574921,3.65599989891052,1.1599999666214,1.81900000572205,1.95799994468689,2.40700006484985,4.43400001525879,1.66600000858307,1.62100005149841,3.20000004768372,1.97000002861023,0.720000028610229,1.50999999046326,1.87000000476837,-0.349999994039536,1.553,2.23,1.33500003814697,0.0385210980051037,2.905,5.60540633583043,3.44160942254218,"Annual average inflation"
"BHR",419,"Bahrain","Inflation","Headline Consumer Price Inflation",1.62898004055023,5.78947019577026,5.08820009231567,14.3318004608154,24.3929996490479,16.1597995758057,22.4958000183105,17.7311000823975,15.7854995727539,2.20599007606506,3.79999995231628,11.3999996185303,8.69999980926514,3.20000004768372,0,-2.40000009536743,-2.5,-1.70000004768372,0.200000002980232,1.20000004768372,1.29900002479553,0.898999989032745,-0.301999986171722,2.59899997711182,3.99900007247925,3.13899993896484,-0.185000002384186,4.60200023651123,-0.418000012636185,-1.25899994373322,-0.730000019073486,-1.17499995231628,-0.495999991893768,1.67900002002716,2.24799990653992,2.61800003051758,2.04099988937378,3.25200009346008,3.52000737190247,2.79696822166443,1.96102106571198,-0.372615575790405,2.77108407020569,3.2963559627533,2.65321063995361,1.83589649200439,2.79971241950989,1.387,2.08,1,-2.31770629331354,-0.606319385140896,3.62574104304492,0.178293829992013,"Annual average inflation"
"BGD",513,"Bangladesh","Inflation","Headline Consumer Price Inflation",3.53999996185303,-0.589999973773956,45.2900009155273,45.0099983215332,54.6500015258789,16.6200008392334,-2.4300000667572,9.34000015258789,17.3700008392334,13.5900001525879,15.3850002288818,14.5450000762939,12.875,9.5310001373291,10.4139995574951,10.4650001525879,10.1750001907349,10.8280000686646,9.67399978637695,8.73400020599365,10.5220003128052,8.28499984741211,3.62400007247925,2.97900009155273,6.15000009536743,10.1169996261597,2.45499992370605,4.95900011062622,8.64799976348877,6.17899990081787,2.48300004005432,1.90799999237061,3.71900010108948,5.36100006103516,6.10300016403198,7.03999996185303,6.76999998092651,9.10900020599365,8.89999961853027,5.44080114364624,8.15090274810791,10.26402759552,6.54860496520996,7.52409172058105,6.98297739028931,6.18594264984131,5.50575304031372,5.611,5.55,5.47499990463257,5.691074747462,5.30667640502107,7.69695437176892,9.78333407218279,"Annual average inflation"
"BRB",316,"Barbados","Inflation","Headline Consumer Price Inflation",7.28422021865845,7.46926021575928,11.8767004013062,16.8551006317139,38.9229011535645,20.2945003509521,4.98677015304565,8.352370262146,9.48237991333008,13.1697998046875,18.4979991912842,14.58899974823,10.2869997024536,5.27500009536743,4.64799976348877,4.85799980163574,0.199000000953674,3.56699991226196,4.7189998626709,6.33400011062622,3.03600001335144,6.30000019073486,5.99599981307983,1.18400001525879,0.699999988079071,2.83800005912781,2.38599991798401,7.71099996566772,-1.26900005340576,1.55999994277954,2.43600010871887,2.80100011825562,0.168999999761581,1.57700002193451,1.42799997329712,6.06500005722046,7.30800008773804,4.03399991989136,8.10799980163574,3.64499998092651,5.82399988174438,9.43000030517578,4.53000020980835,1.80999994277954,1.76999998092651,-1.11000001430511,1.27999997138977,4.41,3.69,4.09999990463257,2.882,3.064,9.43871392179062,11.0234695043087,"Annual average inflation"
"BLR",913,"Belarus","Inflation","Headline Consumer Price Inflation",0,-0.400000005960464,-0.200000002980232,0,-0.100000001490116,0.100000001490116,0.100000001490116,0.200000002980232,0.899999976158142,1.20000004768372,1.10000002384186,1.20000004768372,3.09999990463257,1,-0.699999988079071,0.5,2.29999995231628,1.60000002384186,0,1.79999995231628,4.59999990463257,94.1999969482422,970.700012207031,1190.31604003906,2220.89697265625,685.185119628906,51.6509552001953,64.0746383666992,73.2701416015625,294.638977050781,167.576919555664,60.8454704284668,42.650089263916,28.4917640686035,18.2414016723633,10.373010635376,6.95839595794678,8.29451274871826,14.7337474822998,12.8345985412598,7.66184663772583,53.1746444702148,59.4993057250977,18.3318672180176,18.0946159362793,13.4760866165161,11.8027362823486,6.032,4.87,5.59999990463257,5.54814357456508,9.46028389623105,15.2096752740809,5.00059903091314,"Annual average inflation"
"BEL",124,"Belgium","Inflation","Headline Consumer Price Inflation",3.91000008583069,4.34362840652466,5.44842481613159,6.95527791976929,12.6778879165649,12.7682094573975,9.06860256195068,7.09599781036377,4.47060012817383,4.46907711029053,6.64869260787964,7.62748718261719,8.72654819488525,7.6616096496582,6.34177875518799,4.86873054504395,1.29436826705933,1.55337977409363,1.16093921661377,3.1070511341095,3.44831156730652,3.21531009674072,2.42794942855835,2.75443005561829,2.3775417804718,1.46796274185181,2.07702398300171,1.62816214561462,0.949255466461182,1.12084853649139,2.54451394081116,2.46926212310791,1.64521372318268,1.58896327018738,2.09728384017944,2.78143286705017,1.79120087623596,1.82305669784546,4.48944520950317,-0.0531415827572346,2.18929648399353,3.53208112716675,2.83966088294983,1.11309695243835,0.340003728866577,0.561430633068085,1.97385406494141,2.224,2.05,1.24899995326996,0.740791812220093,2.440248,9.597511,4.04901077613941,"Annual average inflation"
"BLZ",339,"Belize","Inflation","Headline Consumer Price Inflation",21.4099998474121,18.6299991607666,20.7299995422363,66.9599990844727,20.7800006866455,20.7700004577637,-2.90000009536743,12.1499996185303,4.86999988555908,-11.8199996948242,7.05100011825562,11.2239999771118,6.83900022506714,4.99599981307983,3.38299989700317,4.15299987792969,0.794000029563904,2.02099990844727,5.32100009918213,0,2.04699993133545,3.22499990463257,2.3970000743866,1.47300004959106,2.56900000572205,2.89000010490417,6.42500019073486,1.02600002288818,-0.847000002861023,-1.20700001716614,0.614000022411346,1.14999997615814,2.20000004768372,2.61999988555908,3.0699999332428,3.65100002288818,4.23999977111816,2.31800007820129,6.39400005340576,-1.10399997234344,0.917999982833862,1.69500005245209,1.29999995231628,0.506697535514832,1.20345175266266,-0.851677298545837,0.664506673812866,1.148,0.24,0.187000006437302,0.12,3.25978765759785,6.26556349907624,4.51547947307523,"Annual average inflation"
"BEN",638,"Benin","Inflation","Headline Consumer Price Inflation",6.32000017166138,2.76999998092651,3.90000009536743,6.86999988555908,14.4200000762939,-34.4099998474121,8.26000022888184,9.85999965667725,6.84000015258789,10.2700004577637,9.5959997177124,0.795000016689301,4.05900001525879,-6.06699991226196,10.2650003433228,1.15100002288818,0.414000004529953,-1.33899998664856,3.4449999332428,-0.202000007033348,1.11199998855591,2.09999990463257,5.9210000038147,0.444999992847443,38.5349998474121,14.4580001831055,4.91699981689453,3.80299997329712,5.75500011444092,0.34799998998642,4.21000003814697,3.98099994659424,2.42199993133545,1.50699996948242,0.883000016212463,5.36399984359741,3.78699994087219,1.2940000295639,7.93900012969971,0.398000001907349,2.17899990081787,2.72000002861023,6.73999977111816,0.889999985694885,-1.00999999046326,0.270000010728836,-0.850000023841858,1.769,0.83,-0.933000028133392,3.02272119663752,5.91744598516607,1.35077863583532,4.41091174077106,"Annual average inflation"
"BTN",514,"Bhutan","Inflation","Headline Consumer Price Inflation",5.65000009536743,4.46999979019165,6.01999998092651,12.960000038147,17.1100006103516,NA,NA,NA,-15.8699998855591,6.01999998092651,12.503999710083,4.96700000762939,9.91800022125244,12.1370000839233,13.0459995269775,8.00100040435791,5.17700004577637,7.04400014877319,8.18299961090088,8.86400032043457,9.40799999237061,10.3450002670288,8.14400005340576,9.59500026702881,9.49699974060059,7.08400011062622,8.7790002822876,8.55099964141846,7.59100008010864,9.05799961090088,7.18300008773804,3.72399997711182,2.93899989128113,2.47199988365173,3.34599995613098,4.77099990844727,5.15199995040894,5.07999992370605,6.78299999237061,6.2649998664856,5.72599983215332,7.27600002288818,9.27299976348877,11.3199996948242,8.27000045776367,4.55000019073486,4.30999994277954,5.529,2.72,2.59999990463257,5.62939875262353,7.32840050377833,5.63916671396365,4.00547240032168,"Annual average inflation"
